UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
b4ca98c9-d2bc-4a43-a03e-93ec7260cbb3,Anabasis.1.en.txt,plain of Castolus,char-offset:430,PLACE,,,,,,,NOT_IDENTIFIABLE,,
d4516950-71bb-4a4d-ae7e-47bd9ab61cb1,Anabasis.1.en.txt,Parrhasia,char-offset:614,PLACE,http://pleiades.stoa.org/places/570564,Parrasia,-0550/-0330,37.25,22.25,unknown,VERIFIED,,
9bdbf240-8c11-4811-94e3-c9af02414499,Anabasis.1.en.txt,Peloponnesian,char-offset:1918,PLACE,http://pleiades.stoa.org/places/570577,Peloponnesus/Peloponnesos/Peloponnese,-0550/0640,37.25289778,22.31275269,"peninsula,region",VERIFIED,,
b47474cf-9e07-49c1-a6dc-6609152c9e85,Anabasis.1.en.txt,Ionian,char-offset:2062,PLACE,http://pleiades.stoa.org/places/550597,Ionia (region),-0750/0640,38.25857286,27.36601213,region,VERIFIED,,
9396ff4f-8a18-480a-a7e8-0ce74c85458d,Anabasis.1.en.txt,Miletus,char-offset:2175,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
368d4029-02a4-46ed-a4af-8bb1eaa619bc,Anabasis.1.en.txt,Miletus,char-offset:2238,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
ac6193b8-0a92-4ceb-b6a4-0e5246c1eb41,Anabasis.1.en.txt,Miletus,char-offset:2507,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
b4edc9cd-853f-478c-a04d-e957bf387ebb,Anabasis.1.en.txt,Chersonese,char-offset:3333,PLACE,,,,,,,NOT_IDENTIFIABLE,,
4181807c-50f0-4c7b-8570-852ca1f4ef5e,Anabasis.1.en.txt,Abydus,char-offset:3362,PLACE,http://pleiades.stoa.org/places/501325,"Abydos|Abydos, Maltepe",-0750/2000,40.19406,26.41122,settlement,VERIFIED,,
9a523087-5bc9-4526-9924-34169869b11c,Anabasis.1.en.txt,Lacedaemonian,char-offset:3412,PLACE,http://geo-kima.org/place/2480,Sparta (Extinct city),,,,,VERIFIED,,
fb47c6b5-0a47-4c7e-b3c8-dbce5fdf6c59,Anabasis.1.en.txt,Chersonese,char-offset:3608,PLACE,,,,,,,NOT_IDENTIFIABLE,,
61405b00-37d6-49e6-8b60-e30c6bb1b5fa,Anabasis.1.en.txt,Thracians,char-offset:3675,PLACE,http://geo-kima.org/place/9499,Thrace,,,,,VERIFIED,,
e6c3163e-9024-4322-8663-e0da31fd1ebc,Anabasis.1.en.txt,Hellespont,char-offset:3706,PLACE,http://geo-kima.org/place/3584,Dardanelles Strait (Turkey),,,,,VERIFIED,,
623e1397-9573-4e00-8023-69096f77263a,Anabasis.1.en.txt,Thessalian,char-offset:3976,PLACE,http://pleiades.stoa.org/places/1332,Thessalia,,39.6,22.2,region,VERIFIED,,
12e9c4be-f1a8-4570-8499-583d14393025,Anabasis.1.en.txt,Thessaly,char-offset:4398,PLACE,http://pleiades.stoa.org/places/1332,Thessalia,,39.6,22.2,region,VERIFIED,,
3e46bda3-9652-4520-816c-aa8ef2fde2b6,Anabasis.1.en.txt,Boeotian,char-offset:4501,PLACE,http://pleiades.stoa.org/places/540689,Boeotia,-0550/0300,38.34668803,23.18467753,region,VERIFIED,,
dd87dd29-25d1-4cac-b4fb-248604a64024,Anabasis.1.en.txt,Pisidians,char-offset:4643,PLACE,http://pleiades.stoa.org/places/639060,Pisidia,-0550/0640,37.25,30.75,region,VERIFIED,,
e25936d9-7b05-4a13-b969-7254d6669f98,Anabasis.1.en.txt,Stymphalian,char-offset:4751,PLACE,http://pleiades.stoa.org/places/570696,"Stymphalos|Stymphalos/Stymphelos, Stymphalia",-0750/0300,37.85932,22.45931,"theatre,settlement",VERIFIED,,
dab3ef6e-87fe-4607-954f-5ac35562e291,Anabasis.1.en.txt,Achaean,char-offset:4780,PLACE,http://pleiades.stoa.org/places/570028,Achaea/Achaia (region),-0750/0300,38.10212147,22.22458591,region,VERIFIED,,
83ee5d27-6edf-4b69-9fb6-36d6b3b71b79,Anabasis.1.en.txt,Milesian,char-offset:4941,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
7f72554c-93fa-4340-855e-41a9ddbe8f27,Anabasis.1.en.txt,Pisidians,char-offset:5128,PLACE,http://pleiades.stoa.org/places/639060,Pisidia,-0550/0640,37.25,30.75,region,VERIFIED,,
1e1d439b-52bd-4ebe-ba4b-8c1fd44cc49d,Anabasis.1.en.txt,Arcadian,char-offset:5502,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,,
fbcb7f6e-4944-48e8-9c80-6bdef37916db,Anabasis.1.en.txt,Miletus,char-offset:5725,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
f1f587c5-d731-47ab-9515-71dcd5c0965b,Anabasis.1.en.txt,Milesian,char-offset:5748,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
8945a9c0-8554-4018-9347-8dc57281b4e0,Anabasis.1.en.txt,Sardis,char-offset:6042,PLACE,http://pleiades.stoa.org/places/550867,"Sardis/Hyde?|Sardis/Hyde?, Sart",-1750/2000,38.488333,28.040278,settlement,VERIFIED,,
521ee677-9da1-4a2d-9374-13667c5a88b6,Anabasis.1.en.txt,Sardis,char-offset:6080,PLACE,http://pleiades.stoa.org/places/550867,"Sardis/Hyde?|Sardis/Hyde?, Sart",-1750/2000,38.488333,28.040278,settlement,VERIFIED,,
dd1c8f17-1598-4837-8a8a-e9b3d393e93e,Anabasis.1.en.txt,Stymphalian,char-offset:6290,PLACE,http://pleiades.stoa.org/places/570696,"Stymphalos|Stymphalos/Stymphelos, Stymphalia",-0750/0300,37.85932,22.45931,"theatre,settlement",VERIFIED,,
0a57f392-7af8-4204-92ff-c99a71c159ed,Anabasis.1.en.txt,Achaean,char-offset:6341,PLACE,http://pleiades.stoa.org/places/570028,Achaea/Achaia (region),-0750/0300,38.10212147,22.22458591,region,VERIFIED,,
43efff7f-cd11-4d5f-aabb-0fe27fd09491,Anabasis.1.en.txt,Megarian,char-offset:6398,PLACE,,,,,,,NOT_IDENTIFIABLE,,
4d5e4d42-406b-4f4d-8d34-f82749682ecb,Anabasis.1.en.txt,Miletus,char-offset:6565,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,,
fae26dfc-597a-4509-9d2f-ed3a78d13b2d,Anabasis.1.en.txt,Sardis,char-offset:6601,PLACE,http://pleiades.stoa.org/places/550867,"Sardis/Hyde?|Sardis/Hyde?, Sart",-1750/2000,38.488333,28.040278,settlement,VERIFIED,,
1e6dce7e-1743-4c61-9169-2d5b2e54674f,Anabasis.1.en.txt,Pisidians,char-offset:6762,PLACE,http://pleiades.stoa.org/places/639060,Pisidia,-0550/0640,37.25,30.75,region,VERIFIED,,
