Country,Location,Wikipedia,Pleiades,Links,origDate,Destroyed?,found,Lat,Long,No. coins,Entrance facing,In situ?
Bosnia,Jajce,,,http://www.mithraeum.eu/monumenta/mithraeum_in_jajce,0301/0334,No,1931,44.341667,17.269444,,East,Yes
France,Angers,,,http://www.mithraeum.eu/monumenta.php?mid=mithreum_angers&lang=fr ; http://www.inrap.fr/decouverte-d-un-sanctuaire-de-mithra-angers-5023,0201/0234,0367/0400,2010,47.473612,-0.554167,200,,No
France,Biesheim,,,http://www.persee.fr/doc/crai_0065-0536_1955_num_99_3_10488,c. 0150,c. 0400,1955,48.0417,7.5439,404,West,
France,Mackwiller,,,,,,,48.9267,7.1761,,,
France,"Mariana (Lucciana, Corsica)",,,http://www.inrap.fr/en/god-mithra-discovered-corsica-12316,,c. 0400,2016,42.539167,9.495833,None,,Yes
France,Sarrebourg,,,http://www.mithraeum.eu/monumenta.php?mid=mithreum_de_sarrebourg,,,1895,48.74,7.05,,North-north-east,No
France,Strasbourg,,,http://www.tertullian.org/rpearse/mithras/display.php?page=cimrm1335,0145,c. 0400,1911,48.58,7.75,,East,No
Germany,Cologne,,,,,,1927,50.936389,6.952778,,,No
Germany,Dieburg,,,,,0260,1926,49.9,8.85,,,
Germany,Frankfurt,,,,,,1826,50.116667,8.683333,,,
Germany,Frankfurt,,,,,,1826,50.116667,8.683333,,,
Germany,Frankfurt,,,,,,1887,50.116667,8.683333,,,
Germany,Frankfurt,,,,,,1927,50.116667,8.683333,,,
Germany,Riegel am Kaiserstuhl,,,https://www.archeographe.net/Le-mithraeum-de-Riegel,,No,1932,48.15,7.75,,South-east,
Germany,Gimmeldingen,,,http://www.mithraeum.eu/monumenta.php?mid=mithraum_in_gimmeldingen,0325,,1926,49.376667,8.152222,,,
Germany,Güglingen,,,,,,1999,49.066667,9,?,West,Yes
Germany,Hanau,,,,,,,50.133333,8.916667,,,
Germany,Heidelberg,,,,,,,49.416667,8.716667,,,
Germany,Königsbrunn,,,,,,,48.268889,10.890833,,,
Germany,Mainz,,,,,,,50,8.266667,,,
Germany,Neuss,,,,,,,51.2,6.7,,,
Germany,Osterburken,,,,,,,49.430833,9.426111,,,
Germany,Saalburg,,,,,,,50.271389,8.566667,,,
Germany,Saarbrücken,,,,,,,49.233333,7,,,
Germany,Freisen,,,,,,,49.533333,7.25,,,
Germany,Wiesloch,,,,,,,49.294167,8.698333,,,
Germany,Thermes,,,http://www.mithraeum.eu/monumenta.php?mid=thermes_mithraeum,,,1915,,,,,Yes
Hungary,Aquincum Mithraeum (of Victorinus),https://en.wikipedia.org/wiki/Aquincum_Mithraeum_(of_Victorinus),,,,,1888,47.563798,19.050239,,North,Yes
Hungary,Savaria Mithraeum,https://en.wikipedia.org/wiki/Savaria_Mithraeum,,,,0301/0400,2008,47.23512,16.62191,,,Yes
Hungary,Fertorakos Mithraeum,https://en.wikipedia.org/wiki/Fertorakos_Mithraeum,,,0201/0233,,1866,47.74142,16.65674,,North,
Hungary,Sárkeszi,,,,,,,,,,,
Hungary,Budapest (Mithraeum of Symphorus),,,http://www.mithraeum.eu/monumenta/mithraeum_of_symphorus,,,,,,,East,
Israel,Caesarea Maritima City of Herods,,,,,,,32.5,34.891667,,,
Israel,Old Caesarea Roman Mithraeum,,,,,,,,,,,
Italy,Mithraeum of the Circus Maximus,https://en.wikipedia.org/wiki/Circus_Maximus,,,,,,41.8859,12.4857,,,
Italy,Barberini Mithraeum,,,,,,,,,,,
Italy,"Mithraeum of San Clemente, under the basilica of San Clemente",https://en.wikipedia.org/wiki/Basilica_of_San_Clemente,,,,,,"41.889444,",12.4975,,,
Italy,Mithraeum of the Baths of Caracalla,https://en.wikipedia.org/wiki/Baths_of_Caracalla,,,,,,41.879444,12.493056,,,
Italy,"Castra Peregrinorum mithraeum, under the church of Santo Stefano Rotondo",https://en.wikipedia.org/wiki/Santo_Stefano_Rotondo,,,,,,41.884444,12.496667,,,
Italy,Mithraeum under the Santa Prisca basilica,https://en.wikipedia.org/wiki/Santa_Prisca,,,,,,41.883025,12.483839,,,
Italy,Mithraeum of Santa Maria Capua Vetere,,,,,,,41.0803604,14.2507506,,,
Italy,Mithraeum of Naples,,,,,,,,,,,
Romania,"Apulum / Alba Iulia (""Mithraeum III"")",https://en.wikipedia.org/wiki/Alba_Iulia,https://pleiades.stoa.org/places/206927,http://apulumithraeum.blogspot.bg/p/the-project.html & http://apm3.cnrs.ubc.ca/,0106/0300,,2008,46.066944,23.57,,,Yes
