,,,,,,,,,,,Dimensions,,,,,
Catalogue #,Title,Imaged?,Description,Note,Location,Acquisition,Date of Acquisition,Date of creation,Place of origin,Material,Ht,W,D,diam,Sketchfab Link,ICS Catalogue Link
1-,Standing female figurine,,Traces of painting,Do not have- given to family,N/A,,1910,c. 460 BC,Attica,Terracotta,27 cm,,,,,
2-,Attic Black Figure Lethykos,,"Agon of hoplites, with two umpires. An over-lengthened cock on shoulder. Spout and foot restored.",,Library display case,Bought in Athens,1925,Early 5th c. BC ,Attica,,14 cm,,,,,http://catalogue.libraries.london.ac.uk/record=b3492036~S7
3-,Small rf. aryballesque lekythos,,Swan and spirals ornaments. ,3D model attempted on 08/08/2019 but the reflective surface hindered results,Library display case,Bought in Athens,1925,Late 5th c. BC,Attica,,7.5 cm,,,,,http://catalogue.libraries.london.ac.uk/record=b3492049~S7
4-,Attic Black-glazed Oinochoe ,,"Type II. Ornamental stripe, Rim and handle restored. ",,Library display case,Bought in Athens,1925,5th c. BC,Attica,,18.5 cm,,,,,http://catalogue.libraries.london.ac.uk/record=b3492046~S7
5-,Black rf. open lamp,,Rf. circles on bottom. ,,Library display case,Bought in Athens,1925,5th c. BC,Attica,,11 cm (including handle and spout),,,7.75 cm,,http://catalogue.libraries.london.ac.uk/record=b3492041~S7
6-,Corinthian Aryballos,,"Ornamental stripes, rim slightly damaged. Heavily fragmented.",To be repaired,Storage box,Bought in Athens ,1925,6th c. BC,Corinth,,8 cm,,,,,
7-,Small aryballos,y,Ornaments (leaves?).,3D model created 06/08/2019,Library display case,Bought in Athens ,1925,6th c. BC,Corinth,,5.5 cm,,,,https://skfb.ly/6MzDF,
8-,Small amphora,,"Rf. stripes, foot broken.",,Library display case,Bought in Athens,1925,5th c. BC,Attica,,8 cm,,,,,http://catalogue.libraries.london.ac.uk/record=b3492054~S7
9-,Small squat lekythos ,,Ornamental stripes. ,,Library display case,Bought in Athens,1925,5th c. BC,Attica,,7cm,,,,,http://catalogue.libraries.london.ac.uk/record=b3492050~S7
10-,Lekythos,,,Do not have- given to * 31/7/64,N/A,,,,,,,,,,,
11-,Attic Black-glazed Alabastron,,Three stripes with Maeander frieze. Lower part repaired. ,,Library display case,Bought in Athens,1925,5th c. BC,Attica,,14.5 cm,,,,,http://catalogue.libraries.london.ac.uk/record=b3492047~S7
12-,Small geometric jug,,"Stripes, triangles and leaves in red and brown. ",,Library display case,Bought in Athens,1925,6th c. BC? ,,,4.75 cm ,,,,,http://catalogue.libraries.london.ac.uk/record=b3492043~S7
13-,Bf. sherd- two youths,,Two youths (palaestra?) ,3 sherds ,Storage box,Gift by shopkeeper Athens,1925,6th c. BC,Attica,,,,,,,
14-,Bf. Sphinx sherd,,,,Storage box,Gift by shopkeeper Athens,,6th c. BC,Attica,,,,,,,
15-,Bf. sherd,,Wild boar,,Storage box,Gift by shopkeeper Athens,,,,,,,,,,
16-,Bf. sherd,,Part of quadriga? Traces of white paint,,Storage box,Gift by shopkeeper Athens,,,,,,,,,,
17-,Fragment of Minoan Pithos,,Stamped circles. ,,Storage box,Found in palace- Knossos,1925,M.M. III ?,Knossos ,,12 cm,,,,,
18-,Mycenaean sherd,,Brown and red stripes,,Storage box,Found in Tiryns,1925,L.M. II ?,Tiryns,,,,,,,
19-,Byzantine sherd,,"Part of large dish? Engraved pattern, green and yellow glazed paint. ",,Storage box,Found Itch- Kale,1925,,,,,,,,,
20-,Byzantine sherd,,"Painted black, green, red. ",,Storage box,"Found, Acropolis, Sparta",1925,,,,,,,,,
21-,Byzantine sherd,,Incised stripes of lines,,Storage box,Found at Acrocorinth,1925,,,,,,,,,
22-i,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-ii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-iii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-iv,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-v,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-vi,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-vii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22.viii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-ix,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-x,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xi,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xiii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xiv,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xv,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xvi,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xvii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xviii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xix,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xx,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xxi,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xxii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xxiii,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xxiv,Sherd,,,,Storage box,Found in Aegina- Temple of Aphrodite,1925,,,,,,,,,
22-xxv,Sherd,,,One in collection of various sherds is Corinthian ,Storage box,Found in Temple of Aphaia,1925,,,,,,,,,
23-i,Sherd,,One geometric with ritual dance,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-ii,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-iii,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-iv,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-v,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-vi,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-vii,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-viii,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-ix,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
23-x,Sherd,,,Unable to locate- could be unmarked sherds in storage box,,"Found in Heraeum, Argos",1925,Various periods,,,,,,,,
24-i,Sherd,,,One sherd found in Phaestus,Storage box,Found in Crete,1925,,,,,,,,,
24-ii,Sherd,,,Found at Hagia Triadea,Storage box,Found in Crete,1925,,,,,,,,,
24-iii,Sherd,,,Found at Hagia Triadea,Storage box,Found in Crete,1925,,,,,,,,,
24-iv,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-v,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-vi,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-vii,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-viii,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-ix,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-x,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-xi,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-xii,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-xiii,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-xiv,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-xv,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
24-xvi,Sherd,,,Found at Knossos ,Storage box,Found in Crete,1925,,,,,,,,,
25-i,Stone spindal whorl ,,,All items from this collection were found in Mycenae with earth from Schliemann's excavations,Storage box,Mycenae ,1925,,,,,,,,,
25-ii,Clay spindal whorl,,,All items from this collection were found in Mycenae with earth from Schliemann's excavations,Storage box,Mycenae ,1925,,,,,,,,,
